bagalkot|badami|badami|1935|GOVT KBLPS SHIVAPUR|29020114502
bagalkot|badami|badami|1933|GLPS MUTTALAGERI|29020111003
bagalkot|badami|badami|1931|GOVT URDU LPS BADAMI|29020101134
bagalkot|badami|badami|1929|GOVT LPS KEB COLONY BADAMI new)|29020101131
bagalkot|badami|badami|1926|GOVT LPS TATAKOTI|29020101113
bagalkot|badami|badami|1918|GOVT LPS ALADAKATTI CROSS|29020100302
bagalkot|badami|badami|1928|LPS VADDAR ONI BADAMI|29020101120
bagalkot|badami|badami|1919|GOVT MPS BADAMI|29020101101
bagalkot|badami|badami|1920|GOVT UB MPS BADAMI|29020101102
bagalkot|badami|badami|1932|GOVT HPS MUTTALAGERI|29020111001
bagalkot|badami|badami|1917|GOVT HPS ALADAKATTI|29020100301
bagalkot|badami|badami|1934|GOVT HPS YARAGOPPA SB|29020114501
bagalkot|badami|badami|1927|YYY GOVT HPS ANAND NAGER BADAMI|29020101117
bagalkot|badami|badami|1925|YYY GOVT HPS BADAMI ASHRAYA NAGAR|29020101112
bagalkot|badami|badami|1922|GOVT KGS BADAMI|29020101104
bagalkot|badami|badami|1923|GOVT UGS BADAMI|29020101105
bagalkot|badami|badami|1924|YYY GOVT HPS TIPPU NAGAR BADAMI|29020101111
bagalkot|badami|badami|1921|YYY GOVT MPS SCHOOL 1 BADAMI|29020101103
bagalkot|badami|badami|1930|YYY GOVT LPS APMC YARD JAYA NAGAR BADAMI|29020101132
bagalkot|badami|cholachagudda|1936|GOVT LPS ANANTGIRI  LT|29020100601
